Country Name,Country Code,Indicator Name,Indicator Code,sq km
Libya,LBY,Land area (sq. km),AG.LND.TOTL.K2,1759540
St. Lucia,LCA,Land area (sq. km),AG.LND.TOTL.K2,610
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,20038201
Least developed countries: UN classification,LDC,Land area (sq. km),AG.LND.TOTL.K2,20398133.094
Low income,LIC,Land area (sq. km),AG.LND.TOTL.K2,14745302.094
Liechtenstein,LIE,Land area (sq. km),AG.LND.TOTL.K2,160
Sri Lanka,LKA,Land area (sq. km),AG.LND.TOTL.K2,61860
Lower middle income,LMC,Land area (sq. km),AG.LND.TOTL.K2,24014688
Low & middle income,LMY,Land area (sq. km),AG.LND.TOTL.K2,93629196.564
Lesotho,LSO,Land area (sq. km),AG.LND.TOTL.K2,30360
Late-demographic dividend,LTE,Land area (sq. km),AG.LND.TOTL.K2,44521646
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,62610
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,2574.46
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,62230
"Macao SAR, China",MAC,Land area (sq. km),AG.LND.TOTL.K2,33
St. Martin (French part),MAF,Land area (sq. km),AG.LND.TOTL.K2,50
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,446300
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,2.084
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,32970
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,581800
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,300
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,11217118
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950
Marshall Islands,MHL,Land area (sq. km),AG.LND.TOTL.K2,180
Middle income,MIC,Land area (sq. km),AG.LND.TOTL.K2,78883894.47
North Macedonia,MKD,Land area (sq. km),AG.LND.TOTL.K2,25220
Mali,MLI,Land area (sq. km),AG.LND.TOTL.K2,1220190
Malta,MLT,Land area (sq. km),AG.LND.TOTL.K2,320
Myanmar,MMR,Land area (sq. km),AG.LND.TOTL.K2,652670
Middle East & North Africa (excluding high income),MNA,Land area (sq. km),AG.LND.TOTL.K2,8634848
Montenegro,MNE,Land area (sq. km),AG.LND.TOTL.K2,13450
Mongolia,MNG,Land area (sq. km),AG.LND.TOTL.K2,1557507
Northern Mariana Islands,MNP,Land area (sq. km),AG.LND.TOTL.K2,460
Mozambique,MOZ,Land area (sq. km),AG.LND.TOTL.K2,786380
Mauritania,MRT,Land area (sq. km),AG.LND.TOTL.K2,1030700
Mauritius,MUS,Land area (sq. km),AG.LND.TOTL.K2,1997
Malawi,MWI,Land area (sq. km),AG.LND.TOTL.K2,94280
Malaysia,MYS,Land area (sq. km),AG.LND.TOTL.K2,328550
North America,NAC,Land area (sq. km),AG.LND.TOTL.K2,17936174
Namibia,NAM,Land area (sq. km),AG.LND.TOTL.K2,823290
New Caledonia,NCL,Land area (sq. km),AG.LND.TOTL.K2,18280
Niger,NER,Land area (sq. km),AG.LND.TOTL.K2,1266700
Nigeria,NGA,Land area (sq. km),AG.LND.TOTL.K2,910770
Nicaragua,NIC,Land area (sq. km),AG.LND.TOTL.K2,120340
Netherlands,NLD,Land area (sq. km),AG.LND.TOTL.K2,33670
Norway,NOR,Land area (sq. km),AG.LND.TOTL.K2,364270
Nepal,NPL,Land area (sq. km),AG.LND.TOTL.K2,143350
Nauru,NRU,Land area (sq. km),AG.LND.TOTL.K2,20
New Zealand,NZL,Land area (sq. km),AG.LND.TOTL.K2,263310
OECD members,OED,Land area (sq. km),AG.LND.TOTL.K2,35331823.404
Oman,OMN,Land area (sq. km),AG.LND.TOTL.K2,309500
Other small states,OSS,Land area (sq. km),AG.LND.TOTL.K2,2031538
Pakistan,PAK,Land area (sq. km),AG.LND.TOTL.K2,770880
Panama,PAN,Land area (sq. km),AG.LND.TOTL.K2,74180
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,1280000
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,298170
Palau,PLW,Land area (sq. km),AG.LND.TOTL.K2,460
Papua New Guinea,PNG,Land area (sq. km),AG.LND.TOTL.K2,452860
Poland,POL,Land area (sq. km),AG.LND.TOTL.K2,306100
Pre-demographic dividend,PRE,Land area (sq. km),AG.LND.TOTL.K2,20308679.829
Puerto Rico,PRI,Land area (sq. km),AG.LND.TOTL.K2,8870
"Korea, Dem. People's Rep.",PRK,Land area (sq. km),AG.LND.TOTL.K2,120410
Portugal,PRT,Land area (sq. km),AG.LND.TOTL.K2,91605.6
Paraguay,PRY,Land area (sq. km),AG.LND.TOTL.K2,397300
West Bank and Gaza,PSE,Land area (sq. km),AG.LND.TOTL.K2,6025
Pacific island small states,PSS,Land area (sq. km),AG.LND.TOTL.K2,64150
Post-demographic dividend,PST,Land area (sq. km),AG.LND.TOTL.K2,31168492.404
French Polynesia,PYF,Land area (sq. km),AG.LND.TOTL.K2,3471
Qatar,QAT,Land area (sq. km),AG.LND.TOTL.K2,11490
Romania,ROU,Land area (sq. km),AG.LND.TOTL.K2,230080
Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16376870
Rwanda,RWA,Land area (sq. km),AG.LND.TOTL.K2,24670
South Asia,SAS,Land area (sq. km),AG.LND.TOTL.K2,4770120
Saudi Arabia,SAU,Land area (sq. km),AG.LND.TOTL.K2,2149690
Sudan,SDN,Land area (sq. km),AG.LND.TOTL.K2,1868000
Senegal,SEN,Land area (sq. km),AG.LND.TOTL.K2,192530
Singapore,SGP,Land area (sq. km),AG.LND.TOTL.K2,718
Solomon Islands,SLB,Land area (sq. km),AG.LND.TOTL.K2,27990
Sierra Leone,SLE,Land area (sq. km),AG.LND.TOTL.K2,72180
El Salvador,SLV,Land area (sq. km),AG.LND.TOTL.K2,20720
San Marino,SMR,Land area (sq. km),AG.LND.TOTL.K2,60
Somalia,SOM,Land area (sq. km),AG.LND.TOTL.K2,627340
Serbia,SRB,Land area (sq. km),AG.LND.TOTL.K2,84090
Sub-Saharan Africa (excluding high income),SSA,Land area (sq. km),AG.LND.TOTL.K2,23890403.094
South Sudan,SSD,Land area (sq. km),AG.LND.TOTL.K2,631930
Sub-Saharan Africa,SSF,Land area (sq. km),AG.LND.TOTL.K2,23890863.094
Small states,SST,Land area (sq. km),AG.LND.TOTL.K2,2500538
Sao Tome and Principe,STP,Land area (sq. km),AG.LND.TOTL.K2,960
Suriname,SUR,Land area (sq. km),AG.LND.TOTL.K2,156000
Slovak Republic,SVK,Land area (sq. km),AG.LND.TOTL.K2,48080
Slovenia,SVN,Land area (sq. km),AG.LND.TOTL.K2,20136.4
Sweden,SWE,Land area (sq. km),AG.LND.TOTL.K2,407283.54
Eswatini,SWZ,Land area (sq. km),AG.LND.TOTL.K2,17200
Sint Maarten (Dutch part),SXM,Land area (sq. km),AG.LND.TOTL.K2,34
Seychelles,SYC,Land area (sq. km),AG.LND.TOTL.K2,460
Syrian Arab Republic,SYR,Land area (sq. km),AG.LND.TOTL.K2,183630
Turks and Caicos Islands,TCA,Land area (sq. km),AG.LND.TOTL.K2,950
Chad,TCD,Land area (sq. km),AG.LND.TOTL.K2,1259200
East Asia & Pacific (IDA & IBRD countries),TEA,Land area (sq. km),AG.LND.TOTL.K2,15881181.47
Europe & Central Asia (IDA & IBRD countries),TEC,Land area (sq. km),AG.LND.TOTL.K2,22985363
Togo,TGO,Land area (sq. km),AG.LND.TOTL.K2,54390
Thailand,THA,Land area (sq. km),AG.LND.TOTL.K2,510890
Tajikistan,TJK,Land area (sq. km),AG.LND.TOTL.K2,138790
Turkmenistan,TKM,Land area (sq. km),AG.LND.TOTL.K2,469930
Latin America & the Caribbean (IDA & IBRD countries),TLA,Land area (sq. km),AG.LND.TOTL.K2,19912693
Timor-Leste,TLS,Land area (sq. km),AG.LND.TOTL.K2,14870
Middle East & North Africa (IDA & IBRD countries),TMN,Land area (sq. km),AG.LND.TOTL.K2,8628823
Tonga,TON,Land area (sq. km),AG.LND.TOTL.K2,720
South Asia (IDA & IBRD),TSA,Land area (sq. km),AG.LND.TOTL.K2,4770120
Sub-Saharan Africa (IDA & IBRD countries),TSS,Land area (sq. km),AG.LND.TOTL.K2,23890863.094
Trinidad and Tobago,TTO,Land area (sq. km),AG.LND.TOTL.K2,5130
Tunisia,TUN,Land area (sq. km),AG.LND.TOTL.K2,155360
Turkiye,TUR,Land area (sq. km),AG.LND.TOTL.K2,769630
Tuvalu,TUV,Land area (sq. km),AG.LND.TOTL.K2,30
Tanzania,TZA,Land area (sq. km),AG.LND.TOTL.K2,885800
Uganda,UGA,Land area (sq. km),AG.LND.TOTL.K2,200520
Ukraine,UKR,Land area (sq. km),AG.LND.TOTL.K2,579400
Upper middle income,UMC,Land area (sq. km),AG.LND.TOTL.K2,54869206.47
Uruguay,URY,Land area (sq. km),AG.LND.TOTL.K2,175020
United States,USA,Land area (sq. km),AG.LND.TOTL.K2,9147420
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,440653
St. Vincent and the Grenadines,VCT,Land area (sq. km),AG.LND.TOTL.K2,390
"Venezuela, RB",VEN,Land area (sq. km),AG.LND.TOTL.K2,882050
British Virgin Islands,VGB,Land area (sq. km),AG.LND.TOTL.K2,150
Virgin Islands (U.S.),VIR,Land area (sq. km),AG.LND.TOTL.K2,350
Viet Nam,VNM,Land area (sq. km),AG.LND.TOTL.K2,313429
Vanuatu,VUT,Land area (sq. km),AG.LND.TOTL.K2,12190
World,WLD,Land area (sq. km),AG.LND.TOTL.K2,129777684.052
Samoa,WSM,Land area (sq. km),AG.LND.TOTL.K2,2780
Kosovo,XKX,Land area (sq. km),AG.LND.TOTL.K2,
"Yemen, Rep.",YEM,Land area (sq. km),AG.LND.TOTL.K2,527970
South Africa,ZAF,Land area (sq. km),AG.LND.TOTL.K2,1213090
Zambia,ZMB,Land area (sq. km),AG.LND.TOTL.K2,743390
Zimbabwe,ZWE,Land area (sq. km),AG.LND.TOTL.K2,386850
